fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Georges St-Pierre,Record: 26-2-0,180.3,Middleweight,193.0,Orthodox,1981-05-19,3.78,53%,1.40,72%,4.16,74%,83%,1.1
Georgi Karakhanyan,Record: 26-7-1,172.7,Featherweight,,,1985-05-29,4.49,39%,5.00,54%,1.41,50%,33%,1.9
Gerald Harris,Record: 23-5-0,180.3,Middleweight,195.6,Southpaw,1979-11-19,1.41,29%,1.58,62%,2.96,54%,72%,0.0
Gerald Meerschaert,Record: 35-16-0,185.4,Middleweight,195.6,Southpaw,1987-12-18,3.11,43%,3.47,52%,2.12,37%,29%,1.7
Gerald Strebendt,Record: 9-7-0,175.3,Lightweight,,Orthodox,1979-03-01,0.00,0%,4.00,38%,0.00,0%,0%,16.4
Geraldo de Freitas,Record: 12-6-0,170.2,Bantamweight,182.9,Orthodox,1991-09-30,3.67,52%,2.62,50%,3.00,45%,59%,0.0
Gerard Gordeau,Record: 2-2-0,195.6,Lightheavyweight,,Orthodox,1959-03-30,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Germaine de Randamie,Record: 10-4-0,175.3,Bantamweight,180.3,Orthodox,1984-04-24,2.72,46%,2.14,65%,0.00,0%,69%,0.4
Geronimo dos Santos,Record: 39-19-0,190.5,Heavyweight,,Orthodox,1980-08-17,1.09,33%,8.73,41%,0.00,0%,33%,0.0
Gerric Hayes,Record: 8-11-0,177.8,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gerry Harris,Record: 1-4-0,203.2,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gesias Cavalcante,Record: 21-10-1 (2 NC),172.7,Lightweight,180.3,Orthodox,1983-07-06,1.98,35%,3.11,51%,1.25,36%,66%,1.1
Geza Kalman,Record: 4-9-0,185.4,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Giacomo Lemos,Record: 6-0-0,190.5,Heavyweight,190.5,Orthodox,1989-06-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gian Siqueira,Record: 19-5-0,185.4,Welterweight,188.0,Orthodox,1994-06-23,0.80,100%,3.41,19%,0.00,0%,0%,0.0
Gian Villante,Record: 17-14-0,190.5,Heavyweight,193.0,Orthodox,1985-08-18,4.38,44%,5.47,55%,0.45,23%,83%,0.0
Gideon Ray,Record: 17-15-1,177.8,Middleweight,,Southpaw,1973-05-27,2.08,40%,2.58,53%,1.49,100%,0%,0.0
Giga Chikadze,Record: 14-3-0,182.9,Featherweight,188.0,Orthodox,1988-08-25,4.05,42%,3.35,62%,0.26,33%,69%,0.3
Gigo Jara,Record: 6-9-0,175.3,Featherweight,,,,2.26,57%,2.71,51%,0.00,0%,66%,0.0
Gil Castillo,Record: 8-5-0,175.3,Welterweight,,Southpaw,1965-10-21,0.60,45%,2.22,44%,3.33,45%,50%,0.0
Gilbert Aldana,Record: 6-2-0,185.4,Heavyweight,,Orthodox,1977-08-25,2.91,54%,6.26,26%,2.57,40%,33%,0.0
Gilbert Burns,Record: 22-6-0,177.8,Welterweight,180.3,Orthodox,1986-07-20,3.36,48%,3.34,54%,1.95,35%,47%,0.5
Gilbert Jimenez,Record: 8-12-1 (1 NC),,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gilbert Melendez,Record: 22-8-0,175.3,Featherweight,185.4,Orthodox,1982-04-12,3.44,33%,2.53,63%,1.64,41%,71%,0.2
Gilbert Rael,Record: 1-3-0,172.7,Lightweight,,,,0.00,0%,7.46,37%,4.86,100%,0%,0.0
Gilbert Smith,Record: 12-6-0,175.3,Middleweight,,Southpaw,1981-10-19,1.09,41%,2.73,35%,3.51,60%,0%,1.2
Gilbert Urbina,Record: 7-3-0,190.5,Welterweight,190.5,Orthodox,1996-04-05,6.33,60%,4.09,47%,3.96,50%,0%,1.0
Gilbert Yvel,Record: 39-16-1 (1 NC),188.0,Heavyweight,195.6,Orthodox,1976-06-30,1.05,47%,1.78,50%,0.00,0%,25%,1.0
Gilles Arsene,Record: 1-1-0,175.3,Middleweight,,Southpaw,,0.06,10%,2.45,32%,0.00,0%,0%,0.0
Gillian Robertson,Record: 12-7-0,165.1,Flyweight,160.0,Orthodox,1995-05-17,2.32,49%,2.81,50%,2.63,42%,25%,1.0
Gina Carano,Record: 7-1-0,172.7,Featherweight,,Orthodox,1982-04-16,4.50,47%,2.66,64%,1.24,66%,85%,1.6
Gina Mazany,Record: 7-6-0,167.6,Flyweight,172.7,Southpaw,1988-08-19,3.73,50%,3.52,50%,4.34,52%,33%,0.2
Gisele Moreira,Record: 8-3-0,167.6,Bantamweight,,Orthodox,1981-01-14,5.93,42%,6.33,48%,4.00,57%,0%,0.0
Glaico Franca Moreira,Record: 15-5-0,182.9,Lightweight,195.6,Orthodox,1991-02-28,2.35,42%,3.46,47%,2.68,42%,76%,0.3
Gleidson Cutis,Record: 7-4-0,175.3,Lightweight,,Orthodox,1989-02-07,2.99,52%,8.28,59%,0.00,0%,0%,0.0
Gleison Tibau,Record: 33-14-0,177.8,Lightweight,180.3,Southpaw,1983-10-07,1.95,31%,2.51,63%,4.08,53%,92%,0.8
Gleristone Santos,Record: 33-7-0,175.3,Featherweight,,,1988-08-20,3.40,31%,4.40,64%,0.00,0%,75%,0.0
Gloria de Paula,Record: 6-5-0,165.1,Flyweight,170.2,Orthodox,1995-06-10,4.89,53%,3.77,66%,0.74,37%,65%,0.5
Glover Teixeira,Record: 33-9-0,188.0,Lightheavyweight,193.0,Orthodox,1979-10-28,3.73,49%,4.43,51%,2.11,33%,60%,0.9
Godofredo Pepey,Record: 13-6-0,170.2,Featherweight,185.4,Orthodox,1987-07-02,2.32,38%,3.23,47%,0.37,7%,35%,1.5
Goiti Yamauchi,Record: 21-3-0,177.8,Featherweight,,,1993-01-05,1.66,54%,1.01,66%,0.00,0%,0%,4.3
Gokhan Saki,Record: 1-2-0,182.9,Lightheavyweight,185.4,Orthodox,1983-10-19,7.09,58%,4.57,53%,0.00,0%,100%,0.0
Goldman Butler,Record: 1-4-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Goran Reljic,Record: 15-8-0,190.5,Lightheavyweight,205.7,Southpaw,1984-03-20,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Grant Dawson,Record: 19-1-1,177.8,Lightweight,182.9,Switch,1994-02-20,3.12,51%,2.41,45%,3.80,34%,40%,1.6
Gray Maynard,Record: 13-7-1 (1 NC),175.3,Lightweight,177.8,Orthodox,1979-05-09,1.92,32%,2.64,66%,2.91,47%,81%,0.7
Greg Hardy,Record: 7-5-0 (1 NC),195.6,Heavyweight,203.2,Orthodox,1988-07-28,4.79,50%,3.31,55%,0.20,33%,64%,0.0
Greg McIntyre,Record: 6-4-0,177.8,Lightweight,,Orthodox,1980-04-21,0.79,30%,1.36,41%,5.09,50%,0%,0.0
Greg Nagy,Record: 1-3-0,185.4,Lightheavyweight,,Orthodox,1983-10-18,0.41,50%,2.69,37%,0.00,0%,0%,1.2
Greg Rebello,Record: 24-8-0,182.9,Heavyweight,185.4,Southpaw,1982-06-13,2.61,39%,2.92,58%,0.00,0%,0%,0.0
Greg Scott,Record: 3-4-0,175.3,Featherweight,,,,3.90,55%,7.79,37%,11.69,100%,0%,0.0
Greg Soto,Record: 9-4-0,180.3,Welterweight,185.4,Orthodox,1986-06-03,3.21,63%,2.61,52%,1.49,27%,44%,1.0
Greg Stott,Record: 0-1-0,170.2,Lightheavyweight,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Greg Velasco,Record: 6-0-0,,,,,1993-09-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Greg Wilson,Record: 2-3-0,,Lightweight,,,1988-10-02,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gregor Gillespie,Record: 14-1-0,170.2,Lightweight,180.3,Orthodox,1986-11-13,3.74,52%,2.30,57%,6.86,48%,100%,0.8
Gregory Bouchelaghem,Record: 5-4-0,188.0,Welterweight,,Switch,,0.27,21%,1.53,36%,0.00,0%,50%,0.0
Gregory Rodrigues,Record: 13-5-0,190.5,Middleweight,190.5,Orthodox,1992-02-17,6.09,55%,5.82,51%,2.20,50%,100%,0.6
Grigory Popov,Record: 13-3-0,170.2,Bantamweight,172.7,Switch,1984-04-18,3.63,37%,4.20,55%,0.00,0%,45%,0.0
Guangyou Ning,Record: 5-4-1,162.6,Featherweight,162.6,Southpaw,1981-12-15,2.66,41%,1.91,61%,1.09,50%,62%,0.3
Gugun Gusman,Record: 8-4-0,170.2,Bantamweight,172.7,Orthodox,1990-03-03,0.88,27%,6.18,41%,0.00,0%,33%,0.0
Guido Cannetti,Record: 10-8-0,167.6,Bantamweight,172.7,Southpaw,1979-12-19,3.44,55%,2.84,51%,2.27,55%,64%,0.4
Guilherme Costa,Record: 7-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Guilherme Vasconcelos,Record: 9-4-0,182.9,Middleweight,,Orthodox,1986-03-23,3.27,29%,4.40,70%,0.00,0%,0%,0.0
Guilherme Viana,Record: 7-3-0,193.0,Lightheavyweight,,,,2.92,40%,2.72,59%,1.20,66%,77%,0.0
Gunnar Nelson,Record: 19-5-1,180.3,Welterweight,182.9,Switch,1988-07-28,1.84,61%,3.00,49%,1.90,59%,66%,1.0
Guram Kutateladze,Record: 12-3-0,180.3,Lightweight,182.9,Orthodox,1992-01-08,3.83,42%,4.37,58%,0.50,12%,77%,0.0
Gustavo Gabriel,Record: 13-1-0,167.6,Flyweight,,Orthodox,1994-04-01,4.06,65%,4.26,46%,0.00,0%,50%,0.0
Gustavo Lopez,Record: 12-6-1,165.1,Bantamweight,170.2,Orthodox,1989-06-27,2.48,40%,3.87,57%,1.74,41%,31%,0.7
Guto Inocente,Record: 7-4-0,190.5,Lightheavyweight,,Orthodox,1986-05-29,4.13,66%,2.92,54%,0.67,33%,66%,0.7
Guy Mezger,Record: 30-14-2,185.4,Middleweight,,Orthodox,1968-01-01,2.30,32%,1.36,72%,0.39,50%,88%,0.0
Hacran Dias,Record: 23-6-1,172.7,Lightweight,175.3,Orthodox,1984-06-16,2.08,41%,3.31,55%,2.50,39%,76%,0.5
Hailey Cowan,Record: 7-3-0,172.7,Bantamweight,170.2,Southpaw,1992-02-12,2.97,42%,3.17,34%,1.50,33%,80%,0.0
Haisam Rida,Record: 0-0-0,,,,,1993-07-25,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hakeem Dawodu,Record: 13-3-1,172.7,Featherweight,185.4,Orthodox,1991-07-02,5.33,50%,3.15,57%,0.00,0%,65%,0.0
Hamdy Abdelwahab,Record: 5-0-0 (1 NC),188.0,Heavyweight,182.9,Southpaw,1993-01-22,3.87,52%,3.13,59%,3.00,75%,0%,0.0
Han Ten Yun,Record: 0-1-0,180.3,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
HanSeul Kim,Record: 13-5-0,185.4,Welterweight,188.0,Southpaw,1990-06-19,6.93,45%,8.09,50%,0.00,0%,0%,4.0
Hannah Cifers,Record: 10-7-0,154.9,Flyweight,157.5,Orthodox,1992-06-26,4.99,44%,5.39,52%,0.26,100%,64%,0.3
Hannah Goldy,Record: 6-3-0,162.6,Flyweight,154.9,Orthodox,1992-05-18,5.78,46%,4.95,51%,0.56,18%,55%,0.3
Hans Nijman,Record: 9-7-0,182.9,Heavyweight,,Switch,1959-10-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hans Stringer,Record: 22-8-3,190.5,Lightheavyweight,,Orthodox,1987-07-06,3.16,61%,2.84,41%,2.40,36%,62%,0.0
Harold Howard,Record: 1-3-0,188.0,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Harris Sarmiento,Record: 36-26-0,175.3,Lightweight,,Orthodox,1983-09-09,0.84,25%,3.46,36%,2.36,60%,57%,0.0
Harry Hunsucker,Record: 7-6-0,188.0,Lightheavyweight,190.5,Orthodox,1989-01-03,3.54,52%,6.53,42%,0.00,0%,0%,2.0
Harry Moskowitz,Record: 6-12-0,195.6,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Harvey Park,Record: 12-3-0,182.9,Lightweight,177.8,Orthodox,1986-03-22,3.77,50%,7.21,33%,0.00,0%,0%,0.0
Hashem Arkhagha,Record: 6-1-0,188.0,Middleweight,190.5,Orthodox,1989-09-11,1.84,44%,8.97,43%,0.00,0%,50%,0.0
Hatsu Hioki,Record: 29-10-2,180.3,Featherweight,185.4,Orthodox,1983-07-18,2.42,42%,2.12,65%,2.55,56%,54%,0.6
Haven Torres,Record: 0-0-0,,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hayato Sakurai,Record: 38-13-2,170.2,Lightweight,,Orthodox,1975-08-24,2.45,49%,1.94,59%,1.87,69%,56%,0.3
Hayder Hassan,Record: 6-3-0,177.8,Welterweight,,,1982-10-20,2.11,46%,3.16,48%,0.00,0%,25%,0.0
He-Man Gipson,Record: 1-2-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Heath Herring,Record: 28-16-0 (1 NC),193.0,Heavyweight,198.1,Orthodox,1978-03-02,2.37,50%,1.77,54%,1.22,50%,32%,0.7
Heather Clark,Record: 7-6-0,167.6,Flyweight,162.6,Orthodox,1980-09-19,3.69,49%,5.62,50%,0.33,4%,80%,0.3
Hector Aldana,Record: 4-3-0,180.3,Welterweight,182.9,Orthodox,1988-08-17,3.59,38%,5.08,59%,0.93,100%,0%,0.0
Hector Lombard,Record: 34-10-1 (2 NC),175.3,Middleweight,180.3,Southpaw,1978-02-02,3.02,46%,3.35,53%,1.69,48%,77%,0.5
Hector Ramirez,Record: 10-6-1,182.9,Lightheavyweight,,Orthodox,1976-03-28,2.27,41%,4.60,56%,2.30,55%,66%,0.5
Hector Sandoval,Record: 14-4-0,157.5,Flyweight,162.6,Orthodox,1986-07-19,3.31,52%,2.33,65%,3.49,25%,71%,1.4
Hector Urbina,Record: 17-10-1,180.3,Welterweight,185.4,Orthodox,1987-09-17,0.97,38%,2.44,39%,0.00,0%,38%,3.8
Helena Crevar,Record: 0-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Helio Dipp,Record: 6-3-0,195.6,Middleweight,,Orthodox,,0.60,25%,1.80,62%,0.00,0%,50%,0.0
Henrique Da Silva Lopes,Record: 5-2-0,190.5,Heavyweight,,,1985-03-08,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Henrique Shiguemoto,Record: 13-4-1,180.3,Middleweight,182.9,Orthodox,1989-06-22,3.60,33%,6.00,16%,0.00,0%,50%,0.0
Henrique da Silva,Record: 14-5-0,190.5,Lightheavyweight,193.0,Orthodox,1989-09-01,3.89,60%,5.28,40%,0.25,14%,22%,0.2
Henry Briones,Record: 16-8-1,172.7,Bantamweight,175.3,Orthodox,1980-10-22,3.47,42%,4.68,53%,0.00,0%,52%,0.6
Henry Cejudo,Record: 16-3-0,162.6,Bantamweight,162.6,Orthodox,1987-02-09,3.93,47%,3.15,60%,2.07,34%,83%,0.2
Henry Corrales,Record: 13-3-0,175.3,Featherweight,,,,4.12,41%,5.84,55%,0.00,0%,69%,0.0
Henry Martinez,Record: 9-4-0,170.2,Lightweight,175.3,Southpaw,1983-08-07,2.79,25%,4.01,60%,0.00,0%,80%,0.0
Henry Miller,Record: 6-16-0 (1 NC),170.2,Heavyweight,,Southpaw,1969-07-16,1.25,36%,2.16,54%,0.55,25%,60%,0.0
Herbert Burns,Record: 11-4-0,175.3,Featherweight,185.4,Orthodox,1988-02-02,1.61,51%,4.74,30%,3.92,75%,60%,3.3
Herdem Alacabek,Record: 5-1-0,188.0,Lightheavyweight,190.5,Orthodox,1991-06-07,3.84,65%,6.66,23%,2.06,50%,42%,0.0
Herman Renting,Record: 1-3-0,182.9,Lightheavyweight,,Switch,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Herman Terrado,Record: 15-3-1,,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hermes Franca,Record: 24-17-0 (1 NC),167.6,Lightweight,180.3,Orthodox,1974-08-26,1.78,39%,2.85,55%,1.53,36%,37%,2.4
Hernani Perpetuo,Record: 18-5-0 (1 NC),182.9,Welterweight,,Orthodox,1985-05-24,2.73,29%,4.37,55%,0.00,0%,37%,0.5
Herschel Walker,Record: 2-0-0,185.4,Lightheavyweight,,Orthodox,1962-03-03,3.42,67%,0.45,46%,1.94,100%,100%,0.0
Hidehiko Hasegawa,Record: 19-20-6,175.3,Welterweight,,,1978-07-13,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hidehiko Yoshida,Record: 6-8-1,180.3,Heavyweight,,Orthodox,1969-09-03,1.05,36%,1.89,62%,1.09,33%,71%,2.2
Hideo Tokoro,Record: 34-29-2,170.2,Bantamweight,,Orthodox,1977-08-22,1.78,37%,2.01,65%,0.87,34%,44%,2.3
Hidetaka Monma,Record: 18-11-4,182.9,Lightweight,,Orthodox,1973-10-23,1.67,25%,9.76,34%,0.00,0%,0%,0.0
Hilarie Rose,Record: 4-2-0,160.0,Flyweight,160.0,Orthodox,1992-11-11,2.33,33%,6.13,44%,0.00,0%,100%,0.0
Hiroko Yamanaka,Record: 13-3-0 (1 NC),180.3,Bantamweight,,,1978-10-24,2.10,26%,3.54,63%,0.00,0%,100%,0.0
Hiromitsu Kanehara,Record: 19-27-5,177.8,Middleweight,,Orthodox,1970-10-05,0.76,22%,4.39,40%,0.00,0%,40%,0.4
Hiromitsu Miura,Record: 12-7-0,175.3,Welterweight,180.3,Orthodox,1981-09-22,2.12,34%,2.12,58%,2.23,50%,69%,0.6
Hiroshi Izumi,Record: 4-2-0,,Lightheavyweight,,Orthodox,1982-06-22,1.95,37%,2.65,66%,3.35,70%,100%,0.5
Hirotaka Yokoi,Record: 11-5-0,180.3,Lightheavyweight,,Orthodox,1978-06-08,1.52,33%,3.42,38%,1.87,41%,66%,0.4
Hiroyuki Abe,Record: 8-15-3 (1 NC),167.6,Featherweight,,Orthodox,,1.71,36%,3.11,63%,0.00,0%,33%,0.0
Hiroyuki Takaya,Record: 21-14-2,167.6,Bantamweight,,Orthodox,1977-06-10,3.18,33%,3.16,60%,0.90,45%,66%,0.0
Hisaki Kato,Record: 8-2-0,182.9,Middleweight,,,1982-09-17,2.80,48%,1.72,68%,1.62,100%,0%,0.0
Hitomi Akano,Record: 18-10-0,162.6,Bantamweight,,Southpaw,1974-07-27,0.59,45%,2.58,55%,0.00,0%,8%,0.5
Ho Bae Myeon,Record: 13-5-1,180.3,Lightweight,,Orthodox,,3.16,16%,3.16,83%,0.00,0%,0%,0.0
Ho Taek Oh,Record: 7-2-1,,Lightweight,,,1993-07-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Holly Holm,Record: 15-6-0,172.7,Bantamweight,175.3,Southpaw,1981-10-17,3.17,40%,2.77,56%,0.92,31%,78%,0.1
Homer Moore,Record: 26-9-2,177.8,Lightheavyweight,,Orthodox,1971-11-27,0.68,50%,0.68,0%,5.07,66%,0%,0.0
Hong Man Choi,Record: 4-5-0,218.4,Heavyweight,,Orthodox,1980-10-30,1.32,26%,1.46,36%,0.71,100%,84%,0.0
Horacio Gutierrez,Record: 4-3-0,177.8,Featherweight,,,1990-09-15,0.86,26%,2.91,46%,0.00,0%,50%,0.0
Houston Alexander,Record: 17-15-1 (2 NC),182.9,Lightheavyweight,182.9,Orthodox,1972-03-22,3.06,54%,3.20,52%,1.19,57%,33%,0.0
Houston Dorr,Record: 1-2-0,185.4,Lightheavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hu Yaozong,Record: 3-3-0,190.5,Middleweight,182.9,Orthodox,1995-04-07,3.35,48%,5.09,35%,0.00,0%,33%,0.4
Hugh Pulley,Record: 6-3-0,182.9,Lightweight,,,,4.47,63%,3.27,57%,4.00,66%,69%,0.0
Hugo Cunha,Record: 6-0-0,193.0,Heavyweight,,,1993-02-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hugo Duarte,Record: 6-3-0,182.9,Heavyweight,,Orthodox,1968-08-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hugo Govea,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hugo Sandoval,Record: 2-3-0,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hugo Viana,Record: 8-4-0,167.6,Bantamweight,170.2,Orthodox,1982-09-26,3.05,38%,3.20,57%,0.22,6%,50%,0.0
Humberto Bandenay,Record: 14-7-0 (1 NC),180.3,Featherweight,180.3,Southpaw,1994-09-04,2.22,41%,4.79,41%,2.90,46%,62%,0.5
Humberto Brown Morrison,Record: 4-6-0,177.8,Featherweight,,,1984-11-03,1.71,50%,2.19,62%,1.43,25%,0%,0.0
Humberto DeLeon,Record: 7-7-0,,Bantamweight,,,1989-11-12,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hunter Azure,Record: 9-2-0,172.7,Featherweight,175.3,Orthodox,1992-03-02,3.92,53%,2.08,58%,1.97,34%,67%,1.3
Hunter Worsham,Record: 7-3-0,,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hussain Rasouli,Record: 2-3-0,167.6,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hyder Amil,Record: 7-0-0,,Featherweight,,,1990-05-28,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hyun Gyu Lim,Record: 13-7-1,190.5,Welterweight,195.6,Orthodox,1985-01-16,4.45,41%,5.07,51%,0.23,100%,73%,0.2
HyunSung Park,Record: 8-0-0,170.2,Flyweight,167.6,Orthodox,1995-11-04,3.51,48%,2.62,59%,2.23,30%,100%,3.7
Ian Butler,Record: 3-3-0 (1 NC),172.7,Lightweight,,,,2.09,14%,6.69,36%,0.00,0%,50%,0.0
Ian Entwistle,Record: 9-3-0,165.1,Bantamweight,,Orthodox,1986-11-19,0.11,7%,7.36,31%,0.00,0%,0%,12.1
Ian Freeman,Record: 20-7-1,180.3,Heavyweight,,Orthodox,1966-11-10,2.54,48%,3.11,44%,1.44,40%,80%,0.7
Ian Garry,Record: 12-0-0,190.5,Welterweight,188.0,Orthodox,1997-11-17,6.85,55%,4.09,53%,0.29,50%,63%,0.0
Ian Heinisch,Record: 14-5-0,180.3,Middleweight,182.9,Orthodox,1988-08-05,3.25,50%,2.98,59%,1.02,17%,59%,0.7
Ian Loveland,Record: 18-10-0,172.7,Featherweight,,Orthodox,1983-09-07,2.71,40%,2.36,64%,1.00,37%,69%,0.3
Ian McCall,Record: 13-5-1,165.1,Flyweight,162.6,Orthodox,1984-05-07,3.59,39%,3.25,67%,2.08,30%,88%,0.0
Ian Murphy,Record: 1-1-0,185.4,Middleweight,,Orthodox,1985-06-14,0.00,0%,1.93,30%,4.13,100%,0%,0.0
Ian Rammel,Record: 7-8-0,182.9,Middleweight,,,1985-07-22,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Iasmin Lucindo,Record: 14-5-0,160.0,Flyweight,167.6,Orthodox,2002-01-08,3.97,39%,3.83,68%,2.00,57%,0%,0.0
Ibo Aslan,Record: 8-0-0,190.5,Lightheavyweight,,,1996-04-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ibragim Magomedov,Record: 22-8-1,182.9,Heavyweight,,Orthodox,,0.26,4%,3.86,42%,0.00,0%,0%,0.0
Icho Larenas,Record: 6-5-0,190.5,Heavyweight,,Orthodox,1980-03-12,0.17,15%,2.50,28%,0.00,0%,14%,0.0
Ido Pariente,Record: 13-6-0,172.7,Lightweight,,Orthodox,,0.00,0%,2.86,45%,0.00,0%,0%,0.0
Idris Wasi,Record: 2-14-0,182.9,Middleweight,,,1989-12-11,0.40,31%,3.53,46%,0.00,0%,20%,0.0
Ignacio Bahamondes,Record: 14-4-0,190.5,Lightweight,190.5,Orthodox,1997-08-27,7.93,48%,4.51,58%,0.00,0%,95%,0.5
Igor Araujo,Record: 25-9-0 (1 NC),185.4,Welterweight,195.6,Orthodox,1980-12-06,1.52,42%,2.86,49%,0.86,15%,22%,0.6
Igor Borisov,Record: 1-1-0,182.9,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Igor Da Silva,Record: 7-0-0,,Flyweight,,,2003-04-21,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Igor Gracie,Record: 5-4-0,180.3,Welterweight,,,1980-02-04,1.86,60%,0.99,50%,3.72,50%,0%,3.7
Igor Pokrajac,Record: 28-13-0 (1 NC),182.9,Lightheavyweight,188.0,Orthodox,1979-01-02,2.25,45%,4.26,40%,0.87,29%,51%,0.2
Igor Vovchanchyn,Record: 55-10-0 (1 NC),172.7,Lightheavyweight,,Orthodox,1973-08-06,1.59,49%,0.97,63%,1.19,66%,50%,0.5
Igor Zinoviev,Record: 4-1-2,185.4,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ihor Potieria,Record: 19-4-0,190.5,Lightheavyweight,190.5,Southpaw,1996-05-29,4.44,56%,5.52,42%,0.00,0%,33%,0.0
Ike Villanueva,Record: 18-14-0,185.4,Lightheavyweight,185.4,Orthodox,1984-04-04,3.66,38%,7.24,36%,0.60,50%,100%,0.0
Ikram Aliskerov,Record: 14-1-0,182.9,Middleweight,193.0,Southpaw,1992-12-07,6.25,60%,7.88,40%,3.47,33%,0%,3.5
Ikuhisa Minowa,Record: 60-42-8,175.3,Welterweight,,Orthodox,1976-01-12,0.88,40%,1.66,49%,1.82,41%,5%,1.9
Ildemar Alcantara,Record: 21-11-0,188.0,Middleweight,198.1,Orthodox,1982-11-18,1.93,38%,2.63,50%,2.00,68%,81%,0.9
Ilia Topuria,Record: 13-0-0,170.2,Featherweight,175.3,Orthodox,1997-01-21,3.32,49%,2.75,62%,2.45,46%,92%,2.5
Iliarde Santos,Record: 30-13-1 (1 NC),165.1,Flyweight,170.2,Orthodox,1980-09-25,3.00,30%,6.10,57%,1.66,23%,83%,0.0
Ilima Macfarlane,Record: 6-0-0,162.6,Flyweight,,,,4.13,43%,2.93,65%,0.00,0%,50%,1.0
Ilir Latifi,Record: 17-9-0 (1 NC),177.8,Heavyweight,185.4,Orthodox,1982-07-28,2.05,45%,2.93,56%,2.11,35%,100%,0.3
Ilya Kotau,Record: 1-2-0,,Welterweight,,,,3.94,40%,4.38,44%,6.57,100%,100%,6.6
Imani Lee,Record: 2-4-0,,,,Orthodox,,0.00,0%,0.94,33%,0.00,0%,0%,0.0
Impa Kasanganay,Record: 9-2-0,180.3,Welterweight,190.5,Orthodox,1994-01-17,4.96,48%,3.66,58%,1.75,58%,66%,0.2
Inoue Mizuki,Record: 14-6-0,160.0,Flyweight,165.1,Orthodox,1994-08-19,5.00,50%,6.87,48%,0.00,0%,66%,0.0
Ion Cherdivara,Record: 1-1-0,,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ion Cutelaba,Record: 17-9-1 (1 NC),185.4,Lightheavyweight,190.5,Southpaw,1993-12-14,4.63,43%,3.29,48%,4.75,58%,77%,0.0
Iony Razafiarison,Record: 2-1-0 (1 NC),160.0,Featherweight,,,1984-12-23,1.20,42%,1.40,53%,2.00,50%,75%,0.0
Iouri Kotchkine,Record: 7-4-1,188.0,Heavyweight,,Orthodox,,0.67,38%,4.92,15%,0.00,0%,25%,0.0
Irene Aldana,Record: 14-7-0,175.3,Bantamweight,172.7,Orthodox,1988-03-26,4.86,39%,5.71,59%,0.17,50%,75%,0.3
